,Paths,S8->Li2S4-Edge 1,S8->Li2S4-Edge 2,S8->Li2S4-Edge 3,S8->Li2S4-Edge 4,S8->Li2S4-Edge 5,S8->Li2S4-Edge 6,S8->Li2S4-Edge 7,S8->Li2S4-Edge 8,S8->Li2S4-Edge 9,Li2S4->Li2S-Edge 1,Li2S4->Li2S-Edge 2,Li2S4->Li2S-Edge 3,Li2S4->Li2S-Edge 4,Li2S4->Li2S-Edge 5,Li2S4->Li2S-Edge 6,Energy_barrier(eV),sum,sum_positive_except_max
64,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS5 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.09,-0.168,0.487,-0.907,0.003,-0.168,0.574,-0.168,0.592,-0.191,0.574,-0.168,0.574,-0.168,0.592,-1.2979999999999998,2.2119999999999997
65,S8* -> *Li2S8 -> *LiS -> *Li2S7 -> *LiS5 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,-2.074,-0.09,-0.168,0.487,-0.907,0.003,-0.168,0.574,-0.168,0.5,-0.166,0.665,0.523,-0.139,-0.168,0.665,-1.296,2.087
66,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,0.185,-0.168,0.188,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168,0.592,-1.2949999999999993,1.7149999999999999
67,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,0.185,-0.168,0.188,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168,0.592,-1.2949999999999993,1.8539999999999996
68,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,0.185,-0.168,0.188,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168,1.045,-1.2939999999999996,1.6409999999999998
69,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,0.185,-0.168,0.188,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168,1.045,-1.2949999999999997,1.831
70,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,0.185,-0.168,0.188,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168,0.574,-1.2939999999999994,1.7339999999999998
71,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,0.185,-0.168,0.188,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168,0.665,-1.2939999999999994,1.6409999999999998
72,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,0.185,-0.168,0.188,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168,0.665,-1.2949999999999993,1.831
73,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,0.185,-0.168,0.188,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168,0.665,-1.2939999999999998,1.6429999999999998
74,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,0.185,-0.168,0.188,-0.168,0.502,-0.168,0.665,-0.191,0.574,-0.168,0.665,-1.2949999999999997,1.8329999999999997
75,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,0.185,-0.168,0.188,-0.168,0.592,-0.191,0.574,-0.168,0.574,-0.168,0.592,-1.2959999999999992,1.9049999999999998
76,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,0.185,-0.168,0.188,-0.168,0.5,-0.166,0.665,0.523,-0.139,-0.168,0.665,-1.2939999999999994,1.7799999999999998
77,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,-0.18,-0.191,0.574,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168,0.592,-1.2969999999999995,1.916
78,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,-0.18,-0.191,0.574,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168,0.592,-1.2969999999999995,2.0549999999999997
79,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,-0.18,-0.191,0.574,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168,1.045,-1.2959999999999998,1.8419999999999999
80,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,-0.18,-0.191,0.574,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168,1.045,-1.297,2.032
81,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,-0.18,-0.191,0.574,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168,0.574,-1.2959999999999996,1.361
82,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,-0.18,-0.191,0.574,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168,0.665,-1.2959999999999996,1.8419999999999999
83,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,-0.18,-0.191,0.574,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168,0.665,-1.2969999999999995,2.032
84,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,-0.18,-0.191,0.574,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168,0.665,-1.2959999999999996,1.8439999999999999
85,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,-0.18,-0.191,0.574,-0.168,0.502,-0.168,0.665,-0.191,0.574,-0.168,0.665,-1.2969999999999995,2.034
86,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,-0.18,-0.191,0.574,-0.168,0.592,-0.191,0.574,-0.168,0.574,-0.168,0.592,-1.2979999999999994,2.106
87,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,-0.18,-0.191,0.574,-0.168,0.5,-0.166,0.665,0.523,-0.139,-0.168,0.665,-1.2959999999999996,1.9809999999999999
88,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,1.108,-1.092,0.188,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168,1.108,-1.2959999999999992,2.122
89,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,1.108,-1.092,0.188,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168,1.108,-1.2959999999999992,2.261
90,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,1.108,-1.092,0.188,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168,1.108,-1.2949999999999995,2.5010000000000003
91,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,1.108,-1.092,0.188,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168,1.108,-1.2959999999999996,2.691
92,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,1.108,-1.092,0.188,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168,1.108,-1.2949999999999993,2.1229999999999998
93,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,1.108,-1.092,0.188,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168,1.108,-1.2949999999999993,2.1210000000000004
94,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,1.108,-1.092,0.188,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168,1.108,-1.2959999999999992,2.311
95,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,1.108,-1.092,0.188,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168,1.108,-1.2949999999999993,2.123
96,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,1.108,-1.092,0.188,-0.168,0.502,-0.168,0.665,-0.191,0.574,-0.168,1.108,-1.2959999999999992,2.313
97,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,1.108,-1.092,0.188,-0.168,0.592,-0.191,0.574,-0.168,0.574,-0.168,1.108,-1.296999999999999,2.312
98,S8* -> *Li2S8 -> *LiS2 -> S* -> *LiS -> *Li2S6 -> *LiS5 -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,-2.074,-0.688,0.381,0.003,-0.168,1.108,-1.092,0.188,-0.168,0.5,-0.166,0.665,0.523,-0.139,-0.168,1.108,-1.2949999999999993,2.2600000000000002
99,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,-0.18,0.381,0.003,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168,0.592,-1.297,1.916
100,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,-0.18,0.381,0.003,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168,0.592,-1.297,2.0549999999999997
101,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,-0.18,0.381,0.003,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168,1.045,-1.2960000000000003,1.8419999999999999
102,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,-0.18,0.381,0.003,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168,1.045,-1.2970000000000004,2.032
103,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,-0.18,0.381,0.003,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168,0.574,-1.296,1.361
104,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,-0.18,0.381,0.003,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168,0.665,-1.296,1.8419999999999999
105,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,-0.18,0.381,0.003,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168,0.665,-1.297,2.032
106,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,-0.18,0.381,0.003,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168,0.665,-1.2960000000000005,1.8439999999999999
107,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,-0.18,0.381,0.003,-0.168,0.502,-0.168,0.665,-0.191,0.574,-0.168,0.665,-1.2970000000000004,2.034
108,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,-0.18,0.381,0.003,-0.168,0.592,-0.191,0.574,-0.168,0.574,-0.168,0.592,-1.2979999999999998,2.106
109,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS2 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,-0.18,0.381,0.003,-0.168,0.5,-0.166,0.665,0.523,-0.139,-0.168,0.665,-1.296,1.9809999999999999
110,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS5 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,1.108,-0.907,0.003,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168,1.108,-1.2969999999999995,2.127
111,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS5 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,1.108,-0.907,0.003,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168,1.108,-1.2969999999999995,2.266
112,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS5 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,1.108,-0.907,0.003,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168,1.108,-1.2959999999999998,2.5060000000000002
113,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS5 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,1.108,-0.907,0.003,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168,1.108,-1.297,2.6959999999999997
114,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS5 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,1.108,-0.907,0.003,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168,1.108,-1.2959999999999996,2.1279999999999997
115,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS5 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,1.108,-0.907,0.003,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168,1.108,-1.2959999999999996,2.1260000000000003
116,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS5 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,1.108,-0.907,0.003,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168,1.108,-1.2969999999999995,2.316
117,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS5 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,1.108,-0.907,0.003,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168,1.108,-1.2959999999999996,2.128
118,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS5 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,1.108,-0.907,0.003,-0.168,0.502,-0.168,0.665,-0.191,0.574,-0.168,1.108,-1.2969999999999995,2.318
119,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS5 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,1.108,-0.907,0.003,-0.168,0.592,-0.191,0.574,-0.168,0.574,-0.168,1.108,-1.2979999999999994,2.3169999999999997
120,S8* -> *Li2S8 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S6 -> *LiS5 -> S* -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *2LiS -> *LiS -> *Li2S,-2.074,-0.688,-0.191,0.574,-0.168,1.108,-0.907,0.003,-0.168,0.5,-0.166,0.665,0.523,-0.139,-0.168,1.108,-1.2959999999999996,2.265
121,S8* -> *Li2S8 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.171,1.045,-0.546,-0.191,0.574,-0.168,0.188,-0.168,0.592,0.381,0.003,-0.168,0.574,-0.168,1.045,-1.2970000000000004,2.312
122,S8* -> *Li2S8 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS2 -> *2LiS -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.171,1.045,-0.546,-0.191,0.574,-0.168,0.188,-0.168,0.592,0.523,-0.139,-0.168,0.574,-0.168,1.045,-1.2970000000000004,2.451
123,S8* -> *Li2S8 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-1.171,1.045,-0.546,-0.191,0.574,-0.168,0.188,-0.168,0.5,1.045,-0.546,0.381,0.003,-0.168,1.045,-1.2960000000000007,1.646
124,S8* -> *Li2S8 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.171,1.045,-0.546,-0.191,0.574,-0.168,0.188,-0.168,0.5,1.045,-0.546,-0.191,0.574,-0.168,1.045,-1.2970000000000008,1.8359999999999999
125,S8* -> *Li2S8 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> S* -> *LiS -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.171,1.045,-0.546,-0.191,0.574,-0.168,0.188,-0.168,0.5,0.474,0.003,-0.168,0.574,-0.168,1.045,-1.2960000000000005,2.3129999999999997
126,S8* -> *Li2S8 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-1.171,1.045,-0.546,-0.191,0.574,-0.168,0.188,-0.168,0.5,-0.166,0.665,0.381,0.003,-0.168,1.045,-1.2960000000000005,2.311
127,S8* -> *Li2S8 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS3 -> *Li2S3 -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S,-2.074,-1.171,1.045,-0.546,-0.191,0.574,-0.168,0.188,-0.168,0.5,-0.166,0.665,-0.191,0.574,-0.168,1.045,-1.2970000000000004,2.501
128,S8* -> *Li2S8 -> *LiS3 -> S2* -> *LiS2 -> *Li2S2 -> *LiS -> *Li2S5 -> *LiS -> *Li2S4->*Li2S4 -> *LiS -> *Li2S3 -> *LiS2 -> S* -> *LiS -> *Li2S,-2.074,-1.171,1.045,-0.546,-0.191,0.574,-0.168,0.188,-0.168,0.502,-0.168,0.665,0.381,0.003,-0.168,1.045,-1.2960000000000005,2.313
